datetime,open,high,low,close,adj_close,volume
2000/01/11,145.8125,146.09375,143.5,144.5,93.65497589111328,7503700
2000/01/12,144.59375,144.59375,142.875,143.0625,92.7232666015625,6907700
2000/01/13,144.46875,145.75,143.28125,145.0,93.97898864746094,5158300
2000/01/14,146.53125,147.46875,145.96875,146.96875,95.25504302978516,7437300
2000/01/18,145.34375,146.625,145.1875,145.8125,94.50564575195312,6488500
2000/01/19,145.3125,147.0,145.0,147.0,95.27528381347656,6157900
2000/01/20,146.96875,146.96875,143.8125,144.75,93.81697082519531,5800100
2000/01/21,145.5,145.5,144.0625,144.4375,93.61441040039062,6244800
2000/01/24,145.65625,145.84375,139.40625,140.34375,90.96116638183594,7896900
2000/01/25,140.515625,141.9375,139.0,141.9375,91.99409484863281,9942500
2000/01/26,141.0,141.546875,140.09375,140.8125,91.26495361328125,5158100
2000/01/27,141.84375,142.21875,138.125,140.25,90.90040588378906,10922700
2000/01/28,139.4375,140.0625,135.53125,135.875,88.06478881835938,11916200
2000/01/31,135.8125,139.671875,135.0,139.5625,90.45480346679688,10768700
2000/02/01,139.75,141.6875,138.53125,140.9375,91.34601593017578,8419900
2000/02/02,141.28125,142.25,140.375,141.0625,91.4269790649414,6205900
2000/02/03,140.875,143.25,140.0,143.1875,92.80427551269531,7997500
2000/02/04,143.1875,144.0,142.125,142.59375,92.41947174072266,4925400
2000/02/07,142.5625,142.78125,141.4375,142.375,92.27769470214844,5845800
2000/02/08,143.96875,144.5625,143.625,144.3125,93.53339385986328,4936400
2000/02/09,144.46875,144.46875,141.265625,141.28125,91.56878662109375,8511500
2000/02/10,141.625,142.5625,140.875,141.5625,91.75106048583984,6690600
2000/02/11,141.84375,141.9375,138.03125,138.6875,89.8876953125,9849800
2000/02/14,139.78125,139.78125,138.3125,139.5,90.414306640625,8528800
2000/02/15,139.25,141.21875,137.796875,141.078125,91.43710327148438,11078300
2000/02/16,140.375,140.9375,138.796875,139.0,90.09022521972656,8845400
2000/02/17,140.4375,140.4375,138.21875,138.28125,89.6243667602539,7584200
2000/02/18,138.875,138.875,134.625,135.3125,87.70020294189453,9409200
2000/02/22,135.1875,136.34375,133.53125,134.96875,87.47740936279297,16415400
2000/02/23,135.625,137.46875,134.5,136.5625,88.51042175292969,12119000
2000/02/24,136.6875,137.03125,133.09375,133.8125,86.7280044555664,17375000
2000/02/25,135.1875,136.71875,133.125,133.328125,86.41407775878906,10559900
2000/02/28,133.375,136.6875,132.71875,136.125,88.22682189941406,13397800
